	BG_chuvstvam	BG_useshtam	BG_usetja	BG_pochuvstvam	BG_izpitvam	BG_chuvstvuvam	BG_izpitam	BG_pochuvstvuvam	BG_imam_useshtane	BG_imam_chuvstvo	CR_ocutjeti	CR_osjecati	CR_osjetiti	CR_imati_osjecaj	CZ_citit	CZ_mit_pocit	CZ_pocitit	CZ_pocitovat	CZ_pripadat	CZ_ucitit	CZ_vycitit	CZ_vycitovat	CZ_zakouset 	CZ_zakusit	PL_czuc	PL_miec_uczucie	PL_odczuc	PL_odczuwac	PL_poczuc	PL_wyczuc	PL_wyczuwac	RU_chujat	RU_chuvstvovat	RU_ispytat	RU_ispytyvat	RU_oshchushchat	RU_oshchutit	RU_pochujat	RU_pochuvstvovat	UK_vidchuvaty	UK_vidchuty	UK_pochuvaty	UK_pochuty	UK_chuty	UK_maty_vidchuttya	SL_cutiti	SL_obcutiti	SL_pocutiti	SL_zacutiti	SL_imeti_obcutek
BG_chuvstvam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	198	11	3	134	9	2	3	23	0	0	0	0	0	186	1	1	5	17	0	0	0	129	1	9	13	2	0	20	78	16	116	1	0	1	101	11	166	10	8
BG_useshtam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	122	48	4	170	7	7	5	2	10	3	1	0	0	120	1	1	10	16	3	20	4	120	0	9	32	4	0	19	126	35	7	0	15	0	113	7	8	44	17
BG_usetja	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	28	200	2	114	6	32	1	1	75	10	0	0	0	57	1	5	2	139	29	10	2	42	4	4	5	36	4	171	46	205	3	5	3	0	39	3	3	153	4
BG_pochuvstvam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	33	61	1	45	6	7	0	9	6	1	0	0	0	36	0	1	2	71	0	2	0	19	2	1	4	11	0	42	18	58	15	5	0	1	31	4	38	49	3
BG_izpitvam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	27	2	46	4	11	13	0	0	0	0	8	2	45	1	1	31	10	0	1	0	21	4	44	15	3	0	2	55	11	9	0	0	0	41	7	10	10	3
BG_chuvstvuvam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	76	5	1	88	5	3	6	9	0	1	1	0	0	77	0	0	9	1	1	4	0	81	0	1	11	0	0	5	33	6	48	0	2	0	30	3	14	3	1
BG_izpitam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8	33	4	9	6	13	1	0	1	0	0	1	4	8	1	5	1	18	0	0	0	1	19	4	0	6	0	11	9	24	1	0	0	2	6	4	6	11	1
BG_pochuvstvuvam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12	30	0	28	2	27	1	1	7	3	0	0	0	13	0	4	1	28	1	1	0	10	1	0	0	3	0	34	7	24	8	1	0	0	4	1	6	18	1
BG_imam_useshtane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1
BG_imam_chuvstvo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	3	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	4
CR_ocutjeti	0	3	14	3	0	0	2	5	0	0	NA	NA	NA	NA	5	0	3	0	0	3	0	0	0	0	5	0	0	0	10	0	0	0	3	0	0	1	3	0	10	3	13	1	0	0	0	0	0	1	4	0
CR_osjecati	198	122	28	33	59	76	8	12	1	0	NA	NA	NA	NA	469	27	11	22	43	6	3	1	3	0	447	2	2	46	49	3	18	3	350	5	55	56	15	1	67	285	67	171	3	10	4	316	27	203	40	25
CR_osjetiti	11	48	200	61	27	5	33	30	0	0	NA	NA	NA	NA	166	10	76	6	6	76	16	0	0	1	111	0	15	11	231	22	9	3	64	19	19	18	55	5	230	97	292	17	13	3	1	88	22	14	193	9
CR_imati_osjecaj	3	4	2	1	2	1	4	0	2	3	NA	NA	NA	NA	5	39	0	0	2	0	0	0	0	0	12	1	0	0	4	0	0	0	9	0	2	1	1	0	3	7	4	3	0	0	4	4	0	6	1	47
CZ_citit	134	170	114	45	46	88	9	28	0	1	5	469	166	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	485	1	4	31	115	8	21	9	367	5	40	62	21	1	131	304	165	143	8	23	1	428	26	150	80	12
CZ_mit_pocit	9	7	6	6	4	5	6	2	2	3	0	27	10	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	4	1	0	12	1	1	0	25	1	3	2	1	0	11	21	13	11	0	1	5	6	0	11	2	52
CZ_pocitit	2	7	32	7	11	3	13	27	0	0	3	11	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	0	8	3	45	1	0	0	11	10	8	3	25	0	52	19	71	3	2	0	0	10	8	2	41	0
CZ_pocitovat	3	5	1	0	13	6	1	1	0	0	0	22	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	2	15	2	0	1	0	12	1	10	6	1	0	3	28	5	4	0	0	0	9	5	2	2	0
CZ_pripadat	23	2	1	9	0	9	0	1	0	0	0	43	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	0	1	1	12	0	0	0	35	0	1	4	2	0	9	9	11	29	0	0	0	5	1	31	0	2
CZ_ucitit	0	10	75	6	0	0	1	7	0	0	3	6	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	0	1	0	61	5	1	1	7	0	0	3	11	3	53	12	71	0	3	2	0	9	3	0	81	0
CZ_vycitit	0	3	10	1	0	1	0	3	0	0	0	3	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	1	0	2	11	6	1	7	0	0	0	1	1	13	7	18	0	0	1	0	5	1	0	11	0
CZ_vycitovat	0	1	0	0	0	1	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0
CZ_zakouset 	0	0	0	0	8	0	1	0	0	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	2	0	0	0	0	1	1	10	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
CZ_zakusit	0	0	0	0	2	0	4	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	7	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PL_czuc	186	120	57	36	45	77	8	13	1	1	5	447	111	12	485	39	15	16	44	16	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	7	376	5	41	47	16	2	65	276	83	201	3	22	3	282	9	174	92	40
PL_miec_uczucie	1	1	1	0	1	0	1	0	1	0	0	2	0	1	1	4	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	0	3	0	4
PL_odczuc	1	1	5	1	1	0	5	4	0	0	0	2	15	0	4	1	8	2	1	1	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	2	2	3	0	4	0	12	3	14	0	0	0	0	7	6	0	7	0
PL_odczuwac	5	10	2	2	31	9	1	1	0	0	0	46	11	0	31	0	3	15	1	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	21	1	20	17	3	0	4	29	0	5	0	0	0	30	4	4	4	0
PL_poczuc	17	16	139	71	10	1	18	28	0	0	10	49	231	4	115	12	45	2	12	61	2	0	0	1	NA	NA	NA	NA	NA	NA	NA	1	34	10	5	3	41	3	191	29	225	16	18	2	3	37	4	38	191	12
PL_wyczuc	0	3	29	0	0	1	0	1	0	0	0	3	22	0	8	1	1	0	0	5	11	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	0	4	1	16	5	23	0	1	1	0	12	1	0	12	0
PL_wyczuwac	0	20	10	2	1	4	0	1	0	0	0	18	9	0	21	1	0	1	0	1	6	1	0	0	NA	NA	NA	NA	NA	NA	NA	2	19	0	0	7	1	0	7	23	8	0	0	2	0	9	1	0	12	3
RU_chujat	0	4	2	0	0	0	0	0	0	0	0	3	3	0	9	0	0	0	0	1	1	0	0	0	7	0	0	0	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	0	5	0	8	0	0	2	0
RU_chuvstvovat	129	120	42	19	21	81	1	10	6	0	3	350	64	9	367	25	11	12	35	7	7	1	1	0	376	2	2	21	34	2	19	NA	NA	NA	NA	NA	NA	NA	NA	226	38	173	1	8	1	236	12	175	57	34
RU_ispytat	1	0	4	2	4	0	19	1	0	0	0	5	19	0	5	1	10	1	0	0	0	0	1	7	5	0	2	1	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4	16	1	1	0	0	3	2	2	2	0
RU_ispytyvat	9	9	4	1	44	1	4	0	0	1	0	55	19	2	40	3	8	10	1	0	0	0	10	2	41	0	3	20	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA	47	7	13	0	0	0	24	2	3	12	3
RU_oshchushchat	13	32	5	4	15	11	0	0	0	0	1	56	18	1	62	2	3	6	4	3	0	0	2	0	47	0	0	17	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	55	6	12	1	1	0	27	2	5	8	3
RU_oshchutit	2	4	36	11	3	0	6	3	0	0	3	15	55	1	21	1	25	1	2	11	1	0	0	0	16	0	4	3	41	4	1	NA	NA	NA	NA	NA	NA	NA	NA	6	57	2	1	0	0	17	0	5	24	2
RU_pochujat	0	0	4	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	3	1	0	NA	NA	NA	NA	NA	NA	NA	NA	1	6	0	2	0	0	0	0	0	0	0
RU_pochuvstvovat	20	19	171	42	2	5	11	34	0	0	10	67	230	3	131	11	52	3	9	53	13	1	0	0	65	0	12	4	191	16	7	NA	NA	NA	NA	NA	NA	NA	NA	26	258	13	5	1	1	57	8	44	207	13
UK_vidchuvaty	78	126	46	18	55	33	9	7	1	0	3	285	97	7	304	21	19	28	9	12	7	2	3	0	276	1	3	29	29	5	23	4	226	4	47	55	6	1	26	NA	NA	NA	NA	NA	NA	232	27	45	65	14
UK_vidchuty	16	35	205	58	11	6	24	24	0	0	13	67	292	4	165	13	71	5	11	71	18	1	0	2	83	1	14	0	225	23	8	1	38	16	7	6	57	6	258	NA	NA	NA	NA	NA	NA	65	15	39	202	9
UK_pochuvaty	116	7	3	15	9	48	1	8	0	0	1	171	17	3	143	11	3	4	29	0	0	0	0	0	201	1	0	5	16	0	0	1	173	1	13	12	2	0	13	NA	NA	NA	NA	NA	NA	70	0	164	2	7
UK_pochuty	1	0	5	5	0	0	0	1	0	0	0	3	13	0	8	0	2	0	0	3	0	0	0	0	3	0	0	0	18	1	0	0	1	1	0	1	1	2	5	NA	NA	NA	NA	NA	NA	1	0	0	5	0
UK_chuty	0	15	3	0	0	2	0	0	0	0	0	10	3	0	23	1	0	0	0	2	1	0	0	0	22	0	0	0	2	1	2	5	8	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	10	0	1	3	0
UK_maty_vidchuttya	1	0	0	1	0	0	2	0	2	2	0	4	1	4	1	5	0	0	0	0	0	0	0	0	3	1	0	0	3	0	0	0	1	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	2	0	1	0	21
SL_cutiti	101	113	39	31	41	30	6	4	0	1	0	316	88	4	428	6	10	9	5	9	5	1	0	0	282	0	7	30	37	12	9	8	236	3	24	27	17	0	57	232	65	70	1	10	2	NA	NA	NA	NA	NA
SL_obcutiti	11	7	3	4	7	3	4	1	0	0	0	27	22	0	26	0	8	5	1	3	1	0	0	0	9	0	6	4	4	1	1	0	12	2	2	2	0	0	8	27	15	0	0	0	0	NA	NA	NA	NA	NA
SL_pocutiti	166	8	3	38	10	14	6	6	0	0	1	203	14	6	150	11	2	2	31	0	0	0	0	0	174	3	0	4	38	0	0	0	175	2	3	5	5	0	44	45	39	164	0	1	1	NA	NA	NA	NA	NA
SL_zacutiti	10	44	153	49	10	3	11	18	0	0	4	40	193	1	80	2	41	2	0	81	11	1	0	0	92	0	7	4	191	12	12	2	57	2	12	8	24	0	207	65	202	2	5	3	0	NA	NA	NA	NA	NA
SL_imeti_obcutek	8	17	4	3	3	1	1	1	1	4	0	25	9	47	12	52	0	0	2	0	0	0	0	0	40	4	0	0	12	0	3	0	34	0	3	3	2	0	13	14	9	7	0	0	21	NA	NA	NA	NA	NA
